,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
62,4838 Katherine Avenue, 4838 Katherine Avenue, Sherman Oaks, CA,91423, Call, Air Conditioning; Cats Allowed; Large Dogs Allowed; Laundry: none; Patio Balcony; Small Dogs Allowed,High, 818-602-1566, https://hotpads.com/4838-katherine-ave-sherman-oaks-ca-91423-skgh7y/pad,,,,,30991.0,7108.02752294,1018152760.0,32853.175438,15787.0
63,5110 1/2 Lemon Grove Avenue, 5110 1/2 Lemon Grove Avenue, Los Angeles, CA,90029, Call, Cats Allowed; Flooring: Hardwood; Laundry: Shared; Off Street Parking,Medium, 323-665-1050, https://hotpads.com/5110-12-lemon-grove-ave-los-angeles-ca-90029-1u0uk9h/pad,,,,,38617.0,28394.8529412,401892441.0,10407.137815,14723.0
64,11356 Acala Avenue, 11356 Acala Avenue, San Fernando, CA,91340, Call, Air Conditioning; Dryer; Flooring: Hardwood; Laundry: In Unit; Off Street Parking; Washer,Medium, 909-293-9697, https://hotpads.com/11356-acala-ave-san-fernando-ca-91340-1m3mqrn/pad,,,,,34188.0,10114.7928994,391046794.0,11438.1301626,8623.0
65,6417 1/2 Repton Street, 6417 1/2 Repton Street, Los Angeles, CA,90042, Call, Air Conditioning; Cats Allowed; Laundry: Shared; Off Street Parking,High, hotpads, https://hotpads.com/6417-12-repton-st-los-angeles-ca-90042-1u0udvs/pad,,,,,62430.0,13454.7413793,851843674.0,13644.7809387,21018.0
66,14844 Valley Vista Boulevard, 14844 Valley Vista Boulevard, Sherman Oaks, CA,91403, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Furnished; Garage; Laundry: In Unit; No Utilities included in rent; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,Medium, 818-212-0845, https://hotpads.com/14844-valley-vista-blvd-sherman-oaks-ca-91403-1m3u754/pad,,,,,23484.0,6469.4214876,1035052432.0,44074.7927099,12051.0
67,408 S Cochran Avenue, 408 S Cochran Avenue, Los Angeles, CA,90036, Call, Architecture Style: Loft layout; Condo Floor Number: 2; Flooring: Hardwood; Heating system: Heat: forced air; Laundry: Shared; Street Parking,Medium, 818-262-7181, https://hotpads.com/408-s-cochran-ave-los-angeles-ca-90036-1n1x1nm/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
68,4401 Sepulveda Boulevard, 4401 Sepulveda Boulevard, Sherman Oaks, CA,91403, Call, Air Conditioning; Cats Allowed; Garage; Garbage included in rent; Hot water included in rent; Large Dogs Allowed; Laundry: Shared; Small Dogs Allowed,High, 818-332-1423, https://hotpads.com/4401-sepulveda-blvd-sherman-oaks-ca-91403-skwnh1/pad,,,,,23484.0,6469.4214876,1035052432.0,44074.7927099,12051.0
69,1000 Grand by Windsor, 1000 S Grand Avenue, Los Angeles, CA,90015,2375, Barbecue; Bicycle Storage; Bike rider lounge with fix-it station; Catering kitchen lounge with bar top seating; Cats Allowed; Conference Room; Custom cabinetry and large kitchen islands; Cyber lounge with iMac computers; Dogs Allowed; Dryer; Fitness Center; Generous walk-in and linen closets; Grand Lobby with Wi-Fi HDTV and lounge seating; Large Dogs Allowed; Laundry: In Unit; Live/Work apartments with storefront access; Luxury bathrooms with granite countertops; Online Payments Available; Parking Lot; Plush carpeting in bedrooms; Private movie screening room; Resident courtyard with conversational fire pit; Small Dogs Allowed; Spacious living spaces with high ceilings; Street-level access to DTLA's shopping and dining; Studies and computer desks in select homes; Studio one and two-bedroom apartment homes; Swimming Pool; Terraces available in select homes; Three rooftop sky decks with sweeping city views; Washer; Water Feature; Wood-style flooring in living and dining areas,Medium, 1-818-275-5793, https://hotpads.com/1000-grand-by-windsor-los-angeles-ca-90015-wdc2ha/pad,63, $2135 - 5055, 844-855-8634, https://www.apartments.com/1000-grand-by-windsor-los-angeles-ca/5e2dqkp/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
70,1024 South Broadway, 1024 South Broadway, Los Angeles, CA,90015, Call, Attached Garage; Barbecue; Basketball Court; Business Center; Cable TV Ready; Carport; Dryer; Fitness Center; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Guest parking; Heating system: Heat: forced air; Hot Tub; Laundry: In Unit; Master bath; Microwave Oven; Near Transportation; New property; Off Street Parking; Parking Spaces: 1; Patio Balcony; Refrigerator; Sauna; Storage Space; Street Parking; Swimming Pool; Washer; Year Built: 2017; Double Pane Windows; Granite countertop; Jacuzzi / Whirlpool; Range/Oven; Skylight; Stainless steel appliances,Low, 213-514-5777, https://hotpads.com/1024-south-broadway-los-angeles-ca-90015-1the6cp/pad,,,,,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
71,920 1/2 W 10th Street, 920 1/2 W 10th Street, San Pedro, CA,90731, Call, Cable TV Ready; Cable not included in rent; Cats Allowed; Condo Floor Number: 2; Electricity not included in rent; Flooring: Hardwood; Garbage Disposal; Garbage not included in rent; Gas not included in rent; Laundry: Shared; Patio Balcony; Refrigerator; Secured entry; Small Dogs Allowed; Street Parking; Vintage; Water not included in rent; Double Pane Windows; Porch; Range/Oven; Stainless steel appliances; Wired,Low, 760-845-9450, https://hotpads.com/920-12-w-10th-st-san-pedro-ca-90731-w3ednf/pad,,,,,59662.0,6492.05658324,940784609.0,15768.5731119,23914.0
72,2700 Cahuenga, 2700 Cahuenga, Los Angeles, CA,90068,2850, ,Medium, hotpads, https://hotpads.com/2700-cahuenga-blvd-e-los-angeles-ca-90068-skkxu0/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
73,7243 Sale Avenue, 7243 Sale Avenue, West Hills, CA,91307, Call, MLS Listing ID: SR18059575; Year Built: 1956,Low, 818-207-0705, https://hotpads.com/7243-sale-ave-west-hills-ca-91307-sst3pe/pad,,,,,24474.0,3040.2484472,653047436.0,26683.3143744,8556.0
74,1101 Westerly Terrace Aka 3129 W Sunset Boulevard, 1101 Westerly Terrace Aka 3129 W Sunset Boulevard, Los Angeles, CA,90026,1750, ,High, 310-975-2571, https://hotpads.com/1101-westerly-terrace-aka-3129-w-sunset-boulevard-los-angeles-ca-90026-1m2m669/pad,,,,,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
75,1442 Belfast Drive, 1442 Belfast Drive, Los Angeles, CA,90069, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Fireplace; Flooring: Hardwood; Flooring: Tile; Freezer; Garbage Disposal; Heating system: Central; MLS Listing ID: 18303844; Refrigerator; Swimming Pool; View Type: City View; Washer; Year Built: 1941,Low, 323-462-6262, https://hotpads.com/1442-belfast-dr-west-hollywood-ca-90069-w1fwcu/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
76,16014 Lahey, 16014 Lahey, Granada Hills, CA,91344, Call, Covered Parking Spaces: 2; Fireplace; MLS Listing ID: SR18031739; School District: Los Angeles Unified; View Type: None; Year Built: 1953,Low, 818-708-6311, https://hotpads.com/16014-lahey-st-granada-hills-ca-91344-sq51ja/pad,,,,,51747.0,3153.3820841,1102040461.0,21296.7024369,17444.0
77,Skyline Drive, Skyline Drive, West Hollywood, CA,90046, Call, Cable TV Ready; Dryer; Fenced Yard; Fireplace; Flooring: Hardwood; Freezer; Furnished; Garbage Disposal; Heating system: Heat: forced air; High-speed Internet Ready; Laundry: In Unit; Microwave Oven; Patio Balcony; Refrigerator; Swimming Pool; Washer; Year Built: 1963; Range/Oven; Stainless steel appliances,Medium, 310-928-0938, https://hotpads.com/8714-skyline-dr-los-angeles-ca-90046-tzj7bc/pad,,,,,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
78,14972 Camarosa Drive, 14972 Camarosa Drive, Pacific Palisades, CA,90272, Call, Fireplace; MLS Listing ID: 18-307856; Patio Balcony; Spa; Swimming Pool; Washer; Year Built: 1950,Low, 310-255-5467, https://hotpads.com/14972-camarosa-dr-pacific-palisades-ca-90272-1m2x6ce/pad,,,,,22986.0,1006.83311432,1750979831.0,76175.9258244,9815.0
79,2859 Westshire Drive, 2859 Westshire Drive, Los Angeles, CA,90068, Call, Architecture Style: Bungalow; Attached Garage; Cable TV Ready; Cable included in rent; Carport; Covered Parking Spaces: 2; Dryer; Fireplace; Flooring: Hardwood; Furnished; Garbage Disposal; Heating system: Central; Internet included in rent; Laundry: In Unit; MLS Listing ID: 18318834; Patio Balcony; Refrigerator; Utilities included in rent; View Type: Territorial View; Washer; Year Built: 1960; Porch,Medium, 323-836-9415, https://hotpads.com/2859-westshire-dr-los-angeles-ca-90068-u0bh7u/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
80,335 S Bentley Avenue, 335 S Bentley Avenue, Los Angeles, CA,90049, Call, Architecture Style: Traditional; Fireplace; MLS Listing ID: 17-283902; Year Built: 1949,Low, 310-463-1599, https://hotpads.com/335-s-bentley-ave-los-angeles-ca-90049-1n1z3er/pad,70, $7750, 844-860-0627, https://www.apartments.com/335-s-bentley-ave-los-angeles-ca/d7g0ngl/,35482.0,2362.31691079,2124002456.0,59861.4073615,18097.0
81,6202 W 6th Street, 6202 W 6th Street, Los Angeles, CA,90048, Call, Covered Parking Spaces: 3; Dryer; Laundry: In Unit; MLS Listing ID: SR17262985; School District: Los Angeles Unified; View Type: None; Washer; Year Built: 1927,Medium, 661-313-0977, https://hotpads.com/6202-w-6th-st-los-angeles-ca-90048-1n1yzku/pad,,,,,21397.0,11321.1640212,753464171.0,35213.5425994,12939.0
82,6955 Trolleyway, 6955 Trolleyway, Playa Del Rey, CA,90293, Call, Architecture Style: Contemporary; Covered Parking Spaces: 2; Dryer; Flooring: Hardwood; Garbage Disposal; Heating system: Forced Air; Laundry: In Unit; MLS Listing ID: 18299516; Microwave Oven; Refrigerator; Washer; Year Built: 1957,Low, 310-424-5512, https://hotpads.com/6955-trolleyway-playa-del-rey-ca-90293-wcy8ym/pad,,,,,12132.0,4241.95804196,478869171.0,39471.5769041,6968.0
83,9617 Oak Pass Road, 9617 Oak Pass Road, Beverly Hills, CA,90210, Call, Architecture Style: Contemporary; Attached Garage; Covered Parking Spaces: 4; Dryer; Fireplace; Flooring: Carpet; Flooring: Hardwood; Flooring: Tile; Flooring: Wood; Garbage Disposal; Heating system: Central; Laundry: In Unit; MLS Listing ID: 18313774; Refrigerator; Swimming Pool; View Type: Territorial View; Washer; Year Built: 1979,Low, 310-579-2200, https://hotpads.com/9617-oak-pass-rd-beverly-hills-ca-90210-1m2tthr/pad,,,,,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
84,19012 Leadwell Street, 19012 Leadwell Street, Reseda, CA,91335, Call, 1 story; 1413 sqf; 2 bathrooms; 4 bedrooms; Air Conditioning; Fireplace; Flooring: Carpet; Garage; Laundry: Shared; Laundry: Washer only; Oven; Range; Washer; Yard -; breakfast nook; gardener included; granite countertops,Low, 818-998-0597, https://hotpads.com/19012-leadwell-st-reseda-ca-91335-1m3masw/pad,,,,,74363.0,11335.8231707,1009024951.0,13568.9113,24158.0
85,8957 Gladbeck Avenue, 8957 Gladbeck Avenue, Northridge, CA,91324, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Garage; Large Dogs Allowed; Laundry: In Unit; Small Dogs Allowed; Washer,Low, 818-590-9970, https://hotpads.com/8957-gladbeck-ave-northridge-ca-91324-1m3k277/pad,,,,,27669.0,6302.73348519,499233002.0,18043.0446348,10020.0
86,363 N Ogden Drive, 363 N Ogden Drive, Los Angeles, CA,90036, Call, Air Conditioning; Cats Allowed; Electricity not included in rent; Flooring: Hardwood; Gas not included in rent; Laundry: Hookups; Off Street Parking; Patio Balcony; Washer/Dryer Hookups; Water included in rent,Medium, hotpads, https://hotpads.com/363-n-ogden-dr-los-angeles-ca-90036-1n1x1fa/pad,,,,,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
87,7718 Brighton Avenue, 7718 Brighton Avenue, Los Angeles, CA,90047, Call, Ceiling Fan; Condo Floor Number: 1; Covered Parking Spaces: 2; Fireplace; MLS Listing ID: PW18029130; No Air Conditioning; Patio Balcony; School District: Los Angeles Unified; View Type: None; Year Built: 1939; Porch,Low, 714-719-9434, https://hotpads.com/7718-brighton-ave-los-angeles-ca-90047-1m2qyc5/pad,,,,,48606.0,10276.1099366,600392169.0,12352.2233675,17150.0
88,4807 Avoca Street, 4807 Avoca Street, Los Angeles, CA,90041, Call, Covered Parking Spaces: 1; Heating system: Central Furnace; MLS Listing ID: PW17274975; School District: Los Angeles Unified; View Type: None; Year Built: 1950,Medium, 949-466-5577, https://hotpads.com/4807-avoca-st-los-angeles-ca-90041-1m2ppt7/pad,,,,,27425.0,7596.95290859,541197806.0,19733.7395077,9998.0
89,3711 Ocean Front Walk, 3711 Ocean Front Walk, Marina Del Rey, CA,90292,12500, ,Low, hotpads, https://hotpads.com/3711-ocean-front-walk-marina-del-rey-ca-90292-t4ygkq/pad,,,,,21576.0,10576.4705882,881361201.0,40849.1472469,14585.0
90,2422 Sichel Street, 2422 Sichel Street, Los Angeles, CA,90031,1495, ,High, 310-551-0660, https://hotpads.com/2422-sichel-street-los-angeles-ca-90031-ttuyn0/pad,,,,,39316.0,11395.942029,396598065.0,10087.4469682,11903.0
91,3388 Rosewood Avenue, 3388 Rosewood Avenue, Los Angeles, CA,90066, Call, Ceiling Fan; Condo Floor Number: 1; Covered Parking Spaces: 2; Dryer; Elementary School: Walgrove; Flooring: Hardwood; Garbage Disposal; Garden; Heating system: Central Furnace; Heating system: Floor Furnace; Heating: Gas; High School: Venice; Laundry: In Unit; Lawn; MLS Listing ID: IV18049966; Middle School: Mark Twain; No Air Conditioning; Refrigerator; School District: Los Angeles Unified; View Type: Neighborhood; Washer; Year Built: 1953; Range/Oven,High, 888-787-8808, https://hotpads.com/3388-rosewood-ave-los-angeles-ca-90066-u0q800/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
92,5000 S Centinela Avenue, 5000 S Centinela Avenue, Los Angeles, CA,90066,2495, ,Medium, hotpads, https://hotpads.com/5000-s-centinela-ave-los-angeles-ca-90066-skt7qw/pad,,,,,55277.0,11235.1626016,1310888864.0,23714.9060911,25319.0
93,7509 Crenshaw Boulevard, 7509 Crenshaw Boulevard, Los Angeles, CA,90043, Call, Laundry: Shared; Off Street Parking; Parking Spaces: 1,High, 323-610-1846, https://hotpads.com/7509-crenshaw-blvd-los-angeles-ca-90043-1m2qc01/pad,,,,,44789.0,10844.7941889,615346996.0,13738.7973833,17172.0
94,1033 S Cloverdale Avenue, 1033 S Cloverdale Avenue, Los Angeles, CA,90019, Call, Fireplace; Flooring: Carpet; Flooring: Hardwood; Garbage Disposal; Heating system: Central; MLS Listing ID: 17296254; Refrigerator; Washer; Year Built: 1928,Medium, 310-724-7100, https://hotpads.com/1033-s-cloverdale-ave-los-angeles-ca-90019-1n1v9uz/pad,,,,,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
95,2517 1/2 W 42nd Street, 2517 1/2 W 42nd Street, Los Angeles, CA,90008, Call, Electricity not included in rent; Flooring: Hardwood; Gas not included in rent; Laundry: Shared,High, 213-399-4829, https://hotpads.com/2517-12-w-42nd-st-los-angeles-ca-90008-1q53rxd/pad,,,,,32327.0,8808.44686649,426689767.0,13199.1761376,15006.0
96,2666 Ellendale Place, 2666 Ellendale Place, Los Angeles, CA,90007,1465, Bicycle Storage; Building Application Fee: 35; Building Deposit Fee Maximum: 2000; Building Deposit Fee Minimum: 1000; Ceiling Fan; Dishwasher; Flooring: Carpet; Flooring: Hardwood; Freezer; Garbage Disposal; Heating: Gas; High-speed Internet Ready; Internet included in rent; Laundry: Shared; Microwave Oven; One Year Lease; Online Maintenance Portal; Online Rent Payment; Oven; Parking Lot; Patio Balcony; Range; Refrigerator,High, 1-213-947-9182, https://hotpads.com/2666-ellendale-place-los-angeles-ca-90007-sntf1w/pad,,,,,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
97,11226 La Maida Street, 11226 La Maida Street, North Hollywood, CA,91606, Call, Air Conditioning; Dryer; Flooring: Hardwood; Garage; Garbage included in rent; Laundry: In Unit; Near Metro Station in NoHo Arts District Close to 101 and 405 Freeways Starbucks within 2 blocks; Sewage included in rent; Washer; Water included in rent,High, hotpads, https://hotpads.com/11226-la-maida-st-north-hollywood-ca-91601-1m3vubh/pad,,,,,44958.0,13500.9009009,545197960.0,12126.8285956,15676.0
98,845 Kingsley Drive, 845 S Kingsley Drive, Los Angeles, CA,90005,2298, Cats Allowed; Dishwasher; Elevator; Fireplace; Fitness Center; Flooring: Carpet; Flooring: Linoleum; Flooring: Vinyl; Garage; Garbage Disposal; Heating: Gas; Laundry: Shared; Microwave Oven; Multi-level Garage; On-Site Management; One Year Lease; Online Rent Payment; Oven; Patio Balcony; Security: Controlled Access; Security: Gated Entry; Security: Intercom; Small Dogs Allowed; View Type: City; Washer,High, 1-323-524-9189, https://hotpads.com/845-kingsley-drive-los-angeles-ca-90005-1n1tp9z/pad,,,,,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
99,2770 Wright Lane, 2770 Wright Lane, Los Angeles, CA,90068, Call, Covered Parking Spaces: 2; Dryer; Flooring: Carpet; Flooring: Laminate; Furnished; Garbage Disposal; Heating system: Central Furnace; Laundry: In Unit; MLS Listing ID: OC18004478; Microwave Oven; Refrigerator; School District: Los Angeles Unified; Storage Space; View Type: City View; View Type: Territorial View; Washer; Year Built: 2015; Double Pane Windows; Range/Oven,Low, 949-910-7241, https://hotpads.com/2770-wright-ln-los-angeles-ca-90068-1q2a1mq/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
100,1775 E 108th Street, 1775 E 108th Street, Los Angeles, CA,90059, Call, Assigned Parking; Ceiling Fan; Garbage Disposal; Security: Gated Entry; Year Built: 2017,Low, 310-990-6990, https://hotpads.com/1775-e-108th-st-los-angeles-ca-90059-1pkerv2/pad,,,,,40952.0,12372.2054381,310497390.0,7581.98354171,10617.0
101,3400 Cahuenga Boulevard, 3400 Cahuenga Boulevard, Los Angeles, CA,90068,2695, ,Low, hotpads, https://hotpads.com/3400-cahuenga-blvd-w-los-angeles-ca-90068-skgh67/pad,,,,,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
102,13007 Otsego Street, 13007 Otsego Street, Sherman Oaks, CA,91423, Call, Condo Floor Number: 1; Covered Parking Spaces: 2; Fireplace; Heating system: Central Furnace; MLS Listing ID: SR18051756; School District: Los Angeles Unified; View Type: Neighborhood; Year Built: 1951,Medium, 323-590-2999, https://hotpads.com/13007-otsego-st-sherman-oaks-ca-91423-1m3v56f/pad,,,,,30991.0,7108.02752294,1018152760.0,32853.175438,15787.0
103,15514 Briarwood Drive, 15514 Briarwood Drive, Sherman Oaks, CA,91403, Call, Dogs Allowed; Small Dogs Allowed,Medium, 818-933-0077, https://hotpads.com/15514-briarwood-dr-sherman-oaks-ca-91403-u3wpb0/pad,,,,,23484.0,6469.4214876,1035052432.0,44074.7927099,12051.0
104,15540 Moorpark Street, 15540 Moorpark Street, Encino, CA,91436,2395, ,Medium, hotpads, https://hotpads.com/15540-moorpark-st-encino-ca-91436-skfqn4/pad,,,,,14372.0,2521.40350877,1470963725.0,102349.271152,5788.0
105,N Alfred Street, N Alfred Street, Los Angeles, CA,90069,2995, ,Medium, hotpads, https://hotpads.com/1005-n-alfred-st-west-hollywood-ca-90069-tp5tyb/pad,,,,,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
106,1116 1/2 W 39th, 1116 1/2 W 39th, Los Angeles, CA,90037, Call, Air Conditioning; Cats Allowed; Dryer; Flooring: Hardwood; Large Dogs Allowed; Laundry: In Unit; Off Street Parking; Patio Balcony; Small Dogs Allowed; Washer,Medium, 951-823-4840, https://hotpads.com/1116-12-w-39th-los-angeles-ca-90037-1u0qwft/pad,,,,,62276.0,21928.1690141,428398470.0,6879.02996339,17192.0
