id, apt, street, city, state, zipcode, soundscore, rent, tele, url
574, 1538 S Durango Ave Unit Upper, 1538 S Durango Ave Unit Upper, Los Angeles, CA, 90035, 74, $4650, 844-308-1823, https://www.apartments.com/1538-s-durango-ave-los-angeles-ca-unit-upper/q43sclx/
575, 614 Kelton Ave Unit LOWER, 614 Kelton Ave Unit LOWER, Los Angeles, CA, 90024, 71, $2100, 323-472-5448, https://www.apartments.com/614-kelton-ave-los-angeles-ca-unit-lower/51qk5pm/
576, 8661 Hollywood Blvd, 8661 Hollywood Blvd, Los Angeles, CA, 90069, 71, $2850, 424-363-6046, https://www.apartments.com/8661-hollywood-blvd-los-angeles-ca/z32p9hy/
577, 1128 6th Ave, 1128 6th Ave, Venice, CA, 90291, 72, $2625, 844-426-1446, https://www.apartments.com/1128-6th-ave-venice-ca/rqqtdv0/
578, 3338 Oak Glen Dr, 3338 Oak Glen Dr, Los Angeles, CA, 90068, 66, $2950, 866-897-3029, https://www.apartments.com/3338-oak-glen-dr-los-angeles-ca/46y1cxh/
579, 2101 Wattles Dr, 2101 Wattles Dr, Los Angeles, CA, 90046, 84, $12000, 855-747-6732, https://www.apartments.com/2101-wattles-dr-los-angeles-ca/rwspnb0/
580, 6253 Hollywood Blvd Unit 1105, 6253 Hollywood Blvd Unit 1105, Los Angeles, CA, 90028, 63, $3995, 844-289-4409, https://www.apartments.com/6253-hollywood-blvd-los-angeles-ca-unit-1105/0b252f2/
581, 726 N Curson Ave, 726 N Curson Ave, West Hollywood, CA, 90046, -, Call for Rent, 323-476-1740, https://www.apartments.com/726-n-curson-ave-west-hollywood-ca/73l354y/
582, 2404 W 18th St Unit NA, 2404 W 18th St Unit NA, Los Angeles, CA, 90019, 67, $1500, 844-438-1476, https://www.apartments.com/2404-w-18th-st-los-angeles-ca-unit-na/x8mlxcn/
583, 740 S Cochran Ave Unit 315, 740 S Cochran Ave Unit 315, Los Angeles, CA, 90036, 67, $1795, 844-290-5388, https://www.apartments.com/740-s-cochran-ave-los-angeles-ca-unit-315/4474yql/
584, 3644 Royal Meadow Rd, 3644 Royal Meadow Rd, Los Angeles, CA, 91403, 71, $10000, 310-464-1729, https://www.apartments.com/3644-royal-meadow-rd-los-angeles-ca/s324v27/
585, 1126 West Blvd, 1126 West Blvd, Los Angeles, CA, 90019, 72, $3849, 424-235-6459, https://www.apartments.com/1126-west-blvd-los-angeles-ca/2m8c0p9/
586, 1759 Alvira St, 1759 Alvira St, Los Angeles, CA, 90035, 70, $5000, 844-211-4869, https://www.apartments.com/1759-alvira-st-los-angeles-ca/c7qlslf/
587, 1503 W 47th St, 1503 W 47th St, Los Angeles, CA, 90062, 73, $1100, 844-237-5297, https://www.apartments.com/1503-w-47th-st-los-angeles-ca/hdcvz63/
588, 2317 W 42nd St, 2317 W 42nd St, Los Angeles, CA, 90008, 71, $1800, 213-349-4550, https://www.apartments.com/2317-w-42nd-st-los-angeles-ca/gbp558w/
589, 1477 Stebbins Terrace Unit 1, 1477 Stebbins Terrace Unit 1, Los Angeles, CA, 90069, 75, $3000, 323-285-3129, https://www.apartments.com/1477-stebbins-terrace-los-angeles-ca-unit-1/de1sh1l/
590, 7616 Hollywood Blvd, 7616 Hollywood Blvd, West Hollywood, CA, 90046, 72, $1875, 213-674-6071, https://www.apartments.com/7616-hollywood-blvd-west-hollywood-ca/rjw1m63/
591, 3925 S Centinela Ave, 3925 S Centinela Ave, Los Angeles, CA, 90066, 68, $4000, 844-294-4782, https://www.apartments.com/3925-s-centinela-ave-los-angeles-ca/qlj604x/
592, 4205 Monteith Dr, 4205 Monteith Dr, View Park-Windsor Hills, CA, 90043, 77, $1350, 844-828-5724, https://www.apartments.com/4205-monteith-dr-view-park-windsor-hills-ca/vvy31sg/
593, 8152 Kirkwood Dr, 8152 Kirkwood Dr, Los Angeles, CA, 90046, 74, $4995, 818-697-6107, https://www.apartments.com/8152-kirkwood-dr-los-angeles-ca/vtp6y9d/
594, 315 N Gardner St Unit 315, 315 N Gardner St Unit 315, Los Angeles, CA, 90036, 69, $2950, 844-720-9794, https://www.apartments.com/315-n-gardner-st-los-angeles-ca-unit-315/jxw3cr4/
595, 1334 N Alta Vista Blvd, 1334 N Alta Vista Blvd, Los Angeles, CA, 90046, 69, $2850, 866-676-2338, https://www.apartments.com/1334-n-alta-vista-blvd-los-angeles-ca/6bpxk8v/
596, 166 S Saltair Ave, 166 S Saltair Ave, Los Angeles, CA, 90049, 75, $9975, 424-316-5062, https://www.apartments.com/166-s-saltair-ave-los-angeles-ca/vq2yfkf/
597, 9400 Lloydcrest Dr, 9400 Lloydcrest Dr, Beverly Hills, CA, 90210, 82, $12500, 323-618-1692, https://www.apartments.com/9400-lloydcrest-dr-beverly-hills-ca/z3ln85z/
598, 5646 FOUNTAIN Ave, 5646 FOUNTAIN Ave, LOS ANGELES, CA, 90028, 64, $2495, 855-881-4477, https://www.apartments.com/5646-fountain-ave-los-angeles-ca/6409s3v/
599, 2869 Bottlebrush Dr, 2869 Bottlebrush Dr, Los Angeles, CA, 90077, 79, $6500, 760-652-8247, https://www.apartments.com/2869-bottlebrush-dr-los-angeles-ca/0vj9130/
600, 734 S Detroit St Unit 1, 734 S Detroit St Unit 1, Los Angeles, CA, 90036, 63, $2250, 747-226-5576, https://www.apartments.com/734-s-detroit-st-los-angeles-ca-unit-1/7t4lh1w/
601, 2192 W 26th Pl Unit 1/2, 2192 W 26th Pl Unit 1/2, Los Angeles, CA, 90018, 71, $1250, 818-485-2162, https://www.apartments.com/2192-w-26th-pl-los-angeles-ca-unit-1-2/kctdgxb/
602, 3026 Passmore Dr, 3026 Passmore Dr, Los Angeles, CA, 90068, 71, $1800, 424-444-3228, https://www.apartments.com/3026-passmore-dr-los-angeles-ca/teldzqb/
603, 7346 Pacific View Dr, 7346 Pacific View Dr, Los Angeles, CA, 90068, 79, $12500, 323-282-5271, https://www.apartments.com/7346-pacific-view-dr-los-angeles-ca/zb8z5nz/
604, 3768 Bagley Ave, 3768 Bagley Ave, Los Angeles, CA, 90034, 60, $2295, 844-668-5782, https://www.apartments.com/3768-bagley-ave-los-angeles-ca/5czhn2q/
605, 1235 Brockton Ave Unit 301, 1235 Brockton Ave Unit 301, Los Angeles, CA, 90025, 70, $2895, 424-256-0930, https://www.apartments.com/1235-brockton-ave-los-angeles-ca-unit-301/3rh10bg/
606, 1444 S Saltair Ave Unit 203, 1444 S Saltair Ave Unit 203, Los Angeles, CA, 90025, 68, $2995, 844-464-8993, https://www.apartments.com/1444-s-saltair-ave-los-angeles-ca-unit-203/0dc7ss0/
607, 2604 Devista Pl, 2604 Devista Pl, Los Angeles, CA, 90046, 82, $11000, 844-375-7004, https://www.apartments.com/2604-devista-pl-los-angeles-ca/g83spfz/
608, 9614 Heather Rd, 9614 Heather Rd, Beverly Hills, CA, 90210, 77, $8500, 844-575-5374, https://www.apartments.com/9614-heather-rd-beverly-hills-ca/bqfkg2c/
609, 9524 Highridge Dr, 9524 Highridge Dr, Beverly Hills, CA, 90210, 83, $8400, 844-270-9419, https://www.apartments.com/9524-highridge-dr-beverly-hills-ca/n56qnwm/
610, 9386 Sierra Mar Dr, 9386 Sierra Mar Dr, West Hollywood, CA, 90069, 80, $9500, 844-602-6212, https://www.apartments.com/9386-sierra-mar-dr-west-hollywood-ca/0ycryx3/
611, 6930 Woodrow Wilson Dr, 6930 Woodrow Wilson Dr, Los Angeles, CA, 90068, 67, $9999, 844-324-3303, https://www.apartments.com/6930-woodrow-wilson-dr-los-angeles-ca/tbgfhs9/
612, 1616 N Serrano Ave Unit 204, 1616 N Serrano Ave Unit 204, Los Angeles, CA, 90027, 66, $2695, 844-257-7232, https://www.apartments.com/1616-n-serrano-ave-los-angeles-ca-unit-204/8s84n90/
613, 920 Larrabee St, 920 Larrabee St, Los Angeles, CA, 90069, 75, $4000, 844-647-8712, https://www.apartments.com/920-larrabee-st-los-angeles-ca/g0d14sw/
614, 6735 Yucca St, 6735 Yucca St, Los Angeles, CA, 90028, 67, $5750, 844-502-4990, https://www.apartments.com/6735-yucca-st-los-angeles-ca/2mkksfc/
615, 6119 Fountain Ave, 6119 Fountain Ave, Los Angeles, CA, 90028, 66, $5600, 714-215-9367, https://www.apartments.com/6119-fountain-ave-los-angeles-ca/7tkgtez/
616, 8727 Lookout Mountain Ave, 8727 Lookout Mountain Ave, Los Angeles, CA, 90046, 75, $5750, 844-806-0722, https://www.apartments.com/8727-lookout-mountain-ave-los-angeles-ca/wknsnhj/
617, 1636 S Spaulding Ave, 1636 S Spaulding Ave, Los Angeles, CA, 90019, 72, $5750, 844-502-2848, https://www.apartments.com/1636-s-spaulding-ave-los-angeles-ca/l8rvrkf/
618, 146 S Detroit St, 146 S Detroit St, Los Angeles, CA, 90036, 67, $5350, 844-517-9565, https://www.apartments.com/146-s-detroit-st-los-angeles-ca/wfg2gkj/
619, 3021 Haddington Dr, 3021 Haddington Dr, Los Angeles, CA, 90064, 71, $9000, 844-822-8131, https://www.apartments.com/3021-haddington-dr-los-angeles-ca/ryt91w3/
620, 14723 W Sunset Blvd, 14723 W Sunset Blvd, Pacific Palisades, CA, 90272, 94, $9750, 844-771-8994, https://www.apartments.com/14723-w-sunset-blvd-pacific-palisades-ca/l7cfgnd/
621, 6121 Fountain Ave, 6121 Fountain Ave, Los Angeles, CA, 90028, 68, $5500, 844-445-4984, https://www.apartments.com/6121-fountain-ave-los-angeles-ca/t2k8k29/
622, 8745 Lookout Mountain Ave, 8745 Lookout Mountain Ave, Los Angeles, CA, 90046, 75, $7500, 844-475-8307, https://www.apartments.com/8745-lookout-mountain-ave-los-angeles-ca/99t0wj6/
623, 940 Stradella Rd, 940 Stradella Rd, Los Angeles, CA, 90077, 84, $8500, 844-211-7041, https://www.apartments.com/940-stradella-rd-los-angeles-ca/jj4g497/
624, 3235 Hillock Dr, 3235 Hillock Dr, Los Angeles, CA, 90068, 71, $6900, 855-331-4605, https://www.apartments.com/3235-hillock-dr-los-angeles-ca/ztyhnpz/
625, 746 N Sycamore Ave, 746 N Sycamore Ave, Los Angeles, CA, 90038, 69, $4900, 855-717-7838, https://www.apartments.com/746-n-sycamore-ave-los-angeles-ca/qnh70yy/
626, 318 S Orange Dr, 318 S Orange Dr, Los Angeles, CA, 90036, 70, $4200, 844-892-3677, https://www.apartments.com/318-s-orange-dr-los-angeles-ca/498f4ej/
627, 507 Norwich Dr, 507 Norwich Dr, Los Angeles, CA, 90048, 69, $7850, 844-442-3864, https://www.apartments.com/507-norwich-dr-los-angeles-ca/skxcs46/
628, 943 Chantilly Rd, 943 Chantilly Rd, Los Angeles, CA, 90077, 83, $15500, 844-855-0875, https://www.apartments.com/943-chantilly-rd-los-angeles-ca/yr5n0cv/
629, 2120 Outpost Dr, 2120 Outpost Dr, Los Angeles, CA, 90068, 79, $7900, 844-885-2862, https://www.apartments.com/2120-outpost-dr-los-angeles-ca/xh1f6nn/
630, 8855 Appian Way, 8855 Appian Way, Los Angeles, CA, 90046, 80, $5750, 844-209-3695, https://www.apartments.com/8855-appian-way-los-angeles-ca/zvyjttz/
631, 8040 Okean Ter, 8040 Okean Ter, Los Angeles, CA, 90046, 76, $15000, 844-486-9156, https://www.apartments.com/8040-okean-ter-los-angeles-ca/6b2zjlv/
632, 326 N Laurel Ave, 326 N Laurel Ave, Los Angeles, CA, 90048, 69, $17495, 844-660-6143, https://www.apartments.com/326-n-laurel-ave-los-angeles-ca/c8twsyd/
633, 1255 Sierra Alta Way, 1255 Sierra Alta Way, Los Angeles, CA, 90069, 79, $17000, 866-635-1726, https://www.apartments.com/1255-sierra-alta-way-los-angeles-ca/rden2p3/
634, 637 N Gardner St, 637 N Gardner St, Los Angeles, CA, 90036, 71, $16999, 844-836-5966, https://www.apartments.com/637-n-gardner-st-los-angeles-ca/0nlt6m1/
635, 6531 Drexel Ave, 6531 Drexel Ave, Los Angeles, CA, 90048, 71, $7980, 844-291-1061, https://www.apartments.com/6531-drexel-ave-los-angeles-ca/fxf3qyr/
636, 1318 Roxbury Dr Unit 116, 1318 Roxbury Dr Unit 116, Los Angeles, CA, 90035, 70, $6000, 844-627-5686, https://www.apartments.com/1318-roxbury-dr-los-angeles-ca-unit-116/re2y1z0/
637, 183 S Detroit St, 183 S Detroit St, Los Angeles, CA, 90036, 67, $5495, 844-381-6640, https://www.apartments.com/183-s-detroit-st-los-angeles-ca/ss56734/
638, 8454 Kirkwood Dr, 8454 Kirkwood Dr, Los Angeles, CA, 90046, 76, $4800, 844-741-6004, https://www.apartments.com/8454-kirkwood-dr-los-angeles-ca/sblqle4/
639, 8148 Mulholland Ter, 8148 Mulholland Ter, Los Angeles, CA, 90046, 74, $8500, 844-230-5850, https://www.apartments.com/8148-mulholland-ter-los-angeles-ca/efhfekp/
640, 1900 Vine St Unit 216, 1900 Vine St Unit 216, Los Angeles, CA, 90068, 63, $3550, 866-421-4503, https://www.apartments.com/1900-vine-st-los-angeles-ca-unit-216/165p8b4/
641, 9230 Nightingale Dr, 9230 Nightingale Dr, Los Angeles, CA, 90069, 79, $20000, 844-729-9918, https://www.apartments.com/9230-nightingale-dr-los-angeles-ca/mvw02vj/
